id,depth,동작,예상,tree_flag,verdict,req_section,evidence,dup_status
0,1,사용자가 Xpair를 실행하지 않음,"아무 앱 실행, CLI 호출, 권한 요청, 세션 생성도 발생하지 않음",terminate,UNSPECIFIED,-,no direct requirement for this branch,
1,1,사용자가 Xpair IDE 앱을 실행함,"Xpair 앱 실행 결과에 따라 실행 실패, 첫 실행 온보딩, 기존 workbench, IDE 표면 선택으로 분기",continue,UNSPECIFIED,-,no direct requirement for this branch,
2,1,사용자가 Finder Quick Action으로 Xpair를 실행함,잘못된 선택이면 종료하고 실행 가능한 선택이면 mapped/stale 상태로 분기,continue,UNSPECIFIED,-,no explicit requirement,
3,1,사용자가 `xpair` CLI를 실행함,잘못된 명령이면 종료하고 `xpair launch`면 launch flow로 들어감,continue,BACKED,"§1.3 Q0533,Q0534,Q0536,Q0537",`xpair` CLI availability is a hard product requirement,
4,1,사용자가 Xpair보다 XpairHost를 먼저 실행하거나 조작함,Host-first도 접근 가능한 flow로 보고 권한/엔진/클라이언트 대기까지 추적,continue,BACKED,§1.5 Q0543,Starting XpairHost before any client is acceptable,
10,2,사용자가 Xpair를 실행했지만 앱이 열리지 않음,사용자에게 실행 실패가 드러나고 flow 종료,terminate,UNSPECIFIED,-,no direct requirement for this branch,
11,2,Xpair IDE가 첫 실행 온보딩을 표시함,"사용자는 닫기, host discovery/setup 진행, manual host/connect 진행 중 하나로 분기",continue,BACKED,§1.2 Q0369,Client onboarding appears before the IDE workbench.,
12,2,Xpair IDE가 기존 설정으로 workbench를 표시함,"usable host 유무와 session 상태, setup again 선택으로 분기",continue,UNSPECIFIED,-,no direct requirement,
13,2,사용자가 Xpair IDE 안에서 표면/기능을 선택함,Xpair 범위 밖 표면은 차단하고 Xpair 표면은 해당 기능 flow로 이어짐,continue,UNSPECIFIED,-,no direct requirement for this branch,
20,2,Finder Quick Action을 잘못된 선택/입력으로 실행,실행하지 않고 종료,terminate,UNSPECIFIED,-,no direct requirement,
21,2,Finder Quick Action 입력이 실행 가능한 선택으로 들어옴,"GUI 처리 불가, mapped folder, stale/unreachable 상태로 분기",continue,UNSPECIFIED,-,no direct requirement,
30,2,`xpair` CLI를 잘못된 명령/옵션/경로로 실행,사용법/오류 출력 후 종료,terminate,UNSPECIFIED,-,no direct requirement,
31,2,사용자가 `xpair launch` 흐름으로 들어감,"local/self-host, mapped remote, unmapped interactive, SSH/auth 실패로 분기",continue,BACKED,"§1.3 Q0533,Q0534,Q0536,Q0537",`xpair` CLI availability is a hard product requirement,
40,2,사용자가 XpairHost를 실행하지 못함,사용자에게 실행 실패가 드러나고 flow 종료,terminate,UNSPECIFIED,-,no direct requirement for this branch,
41,2,XpairHost가 먼저 열려 host onboarding이 표시됨,"권한, 엔진, Connect 단계로 이어질 수 있음",continue,BACKED,§1.2 Q0441,Host onboarding must exist.,
42,2,XpairHost가 준비된 뒤 클라이언트 없이 대기하거나 메뉴를 조작함,연결된 Xpair 클라이언트가 없으면 대기/상태 표시로 머무름,continue,BACKED,§1.5 Q0543,with no connected client the Host onboarding is expected to hold,
110,3,첫 실행 온보딩 창을 완료 전에 닫음,온보딩이 완료되지 않았으므로 Xpair workbench로 넘어가지 않음,terminate,BACKED,§1.2 Q0369 Q0402 Q0474,Client onboarding closes only after the necessary setup is complete,
111,3,첫 실행 온보딩에서 사용자가 host discovery/setup 흐름으로 진행,Welcome 다음 단계에서 동의 선택 후 host 탐색으로 이어짐,continue,BACKED,§1.4 Q0382 Q0384,First connection should be LAN-first,inconsistent-duplicate
112,3,첫 실행 온보딩에서 사용자가 manual host/connect 흐름으로 진행,수동 host 입력과 SSH/host-app guard로 이어짐,continue,UNSPECIFIED,-,not directly specified,inconsistent-duplicate
121,3,이미 설정된 Xpair workbench를 열었지만 usable host가 없음,"REMOTE_HOST 없음, REMOTE_HOST invalid, host unreachable, setup again, reconnect/retry, telemetry/RD no-op으로 분기",continue,UNSPECIFIED,-,no direct requirement for this state,inconsistent-duplicate
122,3,이미 설정된 Xpair workbench를 열고 reachable host가 있으나 세션 없음,새 세션 생성 또는 화면/파일 표면 사용 흐름으로 이어짐,continue,BACKED,§1.8 Q0402 Q0474,The default editor area should show Remote Desktop,inconsistent-duplicate
123,3,이미 설정된 Xpair workbench를 열고 reachable host와 기존 세션이 있음,"기존 세션 확인, attach, 새 세션 생성 흐름으로 이어짐",continue,BACKED,§1.8 Q0480,Sessions is the primary container,inconsistent-duplicate
124,3,사용자가 Xpair workbench 안에서 setup again 또는 force onboarding으로 진입함,기존 세션은 유지하고 다음 실행에서 첫 실행 온보딩으로 다시 들어감,continue,BACKED,"§1.2 Q0473,Q0493,Q0494",A Settings Configure action may reopen onboarding from scratch.,inconsistent-duplicate
